date,Deaths,Cases
21-02-2020,0,9
24-02-2020,0,10
25-02-2020,0,11
26-02-2020,0,12
27-02-2020,0,13
29-02-2020,0,15
01-03-2020,0,24
03-03-2020,0,33
05-03-2020,0,45
06-03-2020,0,51
07-03-2020,0,57
08-03-2020,1,62
09-03-2020,1,77
11-03-2020,2,103
12-03-2020,2,141
13-03-2020,2,179
14-03-2020,2,199
15-03-2020,2,253
16-03-2020,5,341
17-03-2020,8,440
18-03-2020,9,597
19-03-2020,12,873
20-03-2020,13,1004
21-03-2020,18,1371
22-03-2020,20,1471
23-03-2020,24,2091
24-03-2020,27,2792
25-03-2020,35,3409
26-03-2020,39,4043
27-03-2020,53,4689
28-03-2020,59,5425
29-03-2020,61,6258
30-03-2020,89,7437
31-03-2020,96,8548
01-04-2020,109,9613
02-04-2020,138,11283
03-04-2020,187,12537
04-04-2020,231,13904
05-04-2020,280,15512
06-04-2020,323,16667
07-04-2020,380,17897
08-04-2020,435,19289
09-04-2020,509,20765
10-04-2020,569,22148
11-04-2020,653,23318
12-04-2020,717,24383
13-04-2020,780,25680
14-04-2020,903,27063
15-04-2020,1010,28381
16-04-2020,1193,30092
17-04-2020,1309,31884
18-04-2020,1467,33354
19-04-2020,1580,34786
20-04-2020,1690,36831
21-04-2020,1834,38422
22-04-2020,1974,40190
23-04-2020,2146,42110
24-04-2020,2302,43888
25-04-2020,2465,45354
26-04-2020,2560,46895
27-04-2020,2707,48500
28-04-2020,2859,50026
29-04-2020,2996,51597
30-04-2020,3184,53236
01-05-2020,3391,55061
02-05-2020,3566,56714
03-05-2020,3682,59474
04-05-2020,3854,60772
05-05-2020,4043,62046
06-05-2020,4232,63496
07-05-2020,4408,64922
08-05-2020,4569,66434
09-05-2020,4693,67702
10-05-2020,4871,68848
11-05-2020,4993,69981
12-05-2020,5169,71157
13-05-2020,5304,72278
14-05-2020,5472,73488
15-05-2020,5562,74613
16-05-2020,5679,75864
17-05-2020,5782,77002
18-05-2020,5842,78072
19-05-2020,5912,79112
20-05-2020,6030,80123
21-05-2020,6152,81324
22-05-2020,6250,82480
23-05-2020,6355,83621
24-05-2020,6424,84699
25-05-2020,6545,85711
26-05-2020,6639,86647
27-05-2020,6765,87519
28-05-2020,6877,88512
29-05-2020,6979,89418
30-05-2020,7073,90190
31-05-2020,7295,90947
01-06-2020,7326,91705
02-06-2020,7395,92410
03-06-2020,7498,93085
04-06-2020,7637,93726
05-06-2020,7703,94335
06-06-2020,7773,95057
07-06-2020,7800,95699
08-06-2020,7835,96244
09-06-2020,7897,96653
10-06-2020,7960,97125
11-06-2020,7994,97530
12-06-2020,8049,97943
13-06-2020,8107,98410
14-06-2020,8146,98787
15-06-2020,8175,99147
16-06-2020,8213,99467
17-06-2020,8254,99853
18-06-2020,8300,100220
19-06-2020,8346,100629
20-06-2020,8410,101019
21-06-2020,8430,101337
22-06-2020,8436,101637
23-06-2020,8454,101963
24-06-2020,8484,102242
25-06-2020,8504,102622
26-06-2020,8508,102794
27-06-2020,8516,103032
28-06-2020,8522,103250
29-06-2020,8566,103918
30-06-2020,8591,104204
