AUCTION_DATE,SETTLE_DATE,NUM_PURCHASED,NUM_SEC_ELGB,PAR_AMT_PURCHASED,MAX_PAR_AMT_PURCHASED
2020-07-23,2020-07-27,0,70,0,100
2020-07-21,2020-07-23,0,71,0,100
2020-07-16,2020-07-20,0,71,0,100
2020-07-14,2020-07-16,0,72,0,100
2020-07-09,2020-07-13,0,84,0,100
2020-07-07,2020-07-09,0,80,0,100
2020-07-02,2020-07-06,0,60,0,100
2020-06-29,2020-07-02,1,64,1.5,100
2020-06-25,2020-06-29,8,53,25.429,100
2020-06-23,2020-06-25,2,56,6.525,100
2020-06-18,2020-06-22,3,46,3.158,100
2020-06-16,2020-06-18,5,44,6.443,100
2020-06-11,2020-06-15,22,58,21.605,100
2020-06-09,2020-06-11,7,60,11.216,100
2020-06-04,2020-06-08,5,91,31,250
2020-06-02,2020-06-04,1,70,5,250
2020-05-28,2020-06-01,0,50,0,100
2020-05-26,2020-05-28,4,61,21.5,100
